participantId,trialId,trialOrder,responseId,status,rejectReason,rejectTime,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,cleanedDuration,configHash
"67eedf7be13ffb77c677d4dd","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"67eedf7be13ffb77c677d4dd","introduction","0","prolificId","completed","undefined","undefined","100.00","undefined","undefined","Please enter your Prolific ID (without any spaces):","67eedf7be13ffb77c677d4dd","undefined","undefined","undefined","2025-04-15T13:49:03.431Z","2025-04-15T13:49:39.888Z","36457","33512","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
"67eedf7be13ffb77c677d4dd","consent","1","consentApproval","completed","undefined","undefined","100.00","undefined","undefined","Do you consent to the study and wish to continue?","Accept","undefined","undefined","undefined","2025-04-15T13:49:40.138Z","2025-04-15T13:49:48.281Z","8143","8143","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
"67eedf7be13ffb77c677d4dd","calibration","3","pixelsPerMM","completed","undefined","undefined","100.00","undefined","undefined","Calibration results","3.5294117647058822","undefined","undefined","undefined","2025-04-15T13:50:24.211Z","2025-04-15T13:52:53.472Z","149261","148064","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
"67eedf7be13ffb77c677d4dd","distance calibration","4","dist-calibration-MM","completed","undefined","undefined","100.00","undefined","undefined","Distance Calibration results in MM","558.9276918158662","undefined","undefined","undefined","2025-04-15T13:52:53.647Z","2025-04-15T13:53:55.435Z","61788","61788","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
"67eedf7be13ffb77c677d4dd","distance calibration","4","dist-calibration-CM","completed","undefined","undefined","100.00","undefined","undefined","Distance Calibration results in CM","55.892769181586615","undefined","undefined","undefined","2025-04-15T13:52:53.647Z","2025-04-15T13:53:55.435Z","61788","61788","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
"67eedf7be13ffb77c677d4dd","distance calibration","4","ball-positions","completed","undefined","undefined","100.00","undefined","undefined","Position of balls in pixels","[614,580,456,568,644]","undefined","undefined","undefined","2025-04-15T13:52:53.647Z","2025-04-15T13:53:55.435Z","61788","61788","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
"67eedf7be13ffb77c677d4dd","task4_train_1","8","location-x","completed","undefined","undefined","100.00","undefined","Click the slider to initialize. 

 Drag the slider to trace the ball along the curve. 

 Identify the point where the tangent line to the curve is *steepest* --- this is where the slope is at its maximum value. Look for where an imaginary straight line touching the curve would have the steepest upward angle. 

 Use left ← and right arrow → keys to fine-tune selection.","The x-axis location of your click","1.62","undefined","undefined","undefined","2025-04-15T13:54:32.304Z","2025-04-15T13:55:02.472Z","30168","30168","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
"67eedf7be13ffb77c677d4dd","task4_train_1","8","location-y","completed","undefined","undefined","100.00","undefined","Click the slider to initialize. 

 Drag the slider to trace the ball along the curve. 

 Identify the point where the tangent line to the curve is *steepest* --- this is where the slope is at its maximum value. Look for where an imaginary straight line touching the curve would have the steepest upward angle. 

 Use left ← and right arrow → keys to fine-tune selection.","The y-axis location of your click","0.9527766424513476","undefined","undefined","undefined","2025-04-15T13:54:32.304Z","2025-04-15T13:55:02.472Z","30168","30168","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
"67eedf7be13ffb77c677d4dd","task4_train_1","8","pixel-x","completed","undefined","undefined","100.00","undefined","Click the slider to initialize. 

 Drag the slider to trace the ball along the curve. 

 Identify the point where the tangent line to the curve is *steepest* --- this is where the slope is at its maximum value. Look for where an imaginary straight line touching the curve would have the steepest upward angle. 

 Use left ← and right arrow → keys to fine-tune selection.","The Pixel x-axis location of your click","404.17","undefined","undefined","undefined","2025-04-15T13:54:32.304Z","2025-04-15T13:55:02.472Z","30168","30168","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
"67eedf7be13ffb77c677d4dd","task4_train_1","8","pixel-y","completed","undefined","undefined","100.00","undefined","Click the slider to initialize. 

 Drag the slider to trace the ball along the curve. 

 Identify the point where the tangent line to the curve is *steepest* --- this is where the slope is at its maximum value. Look for where an imaginary straight line touching the curve would have the steepest upward angle. 

 Use left ← and right arrow → keys to fine-tune selection.","The y-axis location of your click","33.65322623171769","undefined","undefined","undefined","2025-04-15T13:54:32.304Z","2025-04-15T13:55:02.472Z","30168","30168","f6450b6b0a88390c74199c26a0e064ecec11393dc9e1ac05700eec1b321d135d"
