id,assignmentid,endtime,mark,pageheight,pagewidth,reportedaverage,seed,starttime,stimuliindex,flip,trial,variability,useragent,xdomain,ydomain,batch,experiment,data_average,average,error,normalized_average,overestimated,normalized_error,average_along_arc
14337,3LOTDFNYA8ZFNR62144LRUGPDGDWFP,1.64693E+12,line,617,1366,0.4190625,19,1.64693E+12,134,FALSE,36,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.256604718,0.256604718,0.162457782,0.256604718,TRUE,0.162457782,0.286171031
14338,3LOTDFNYA8ZFNR62144LRUGPDGDWFP,1.64693E+12,line,617,1366,0.4540625,11,1.64693E+12,121,TRUE,37,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.433918025,0.433918025,0.020144475,0.566081975,TRUE,-0.020144475,0.432483521
14339,3LOTDFNYA8ZFNR62144LRUGPDGDWFP,1.64693E+12,line,617,1366,0.5340625,3,1.64693E+12,27,TRUE,38,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.59847931,0.59847931,-0.06441681,0.40152069,FALSE,0.06441681,0.552463204
14340,3LOTDFNYA8ZFNR62144LRUGPDGDWFP,1.64693E+12,line,617,1366,0.4940625,16,1.64693E+12,110,FALSE,39,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.374941292,0.374941292,0.119121208,0.374941292,TRUE,0.119121208,0.419528597
14341,3LOTDFNYA8ZFNR62144LRUGPDGDWFP,1.64693E+12,line,617,1366,0.4590625,14,1.64693E+12,72,FALSE,40,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.293249191,0.293249191,0.165813309,0.293249191,TRUE,0.165813309,0.302398008
14342,3LOTDFNYA8ZFNR62144LRUGPDGDWFP,1.64693E+12,line,617,1366,0.5690625,2,1.64693E+12,14,FALSE,41,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.428706218,0.428706218,0.140356282,0.428706218,TRUE,0.140356282,0.485805773
11202,358010RM5FTJ8OXIBO5BBZXIA57VXR,1.64679E+12,line,929,1920,0.5140625,1,1.64679E+12,1,TRUE,1,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.487299454,0.487299454,0.026763046,0.512700546,TRUE,-0.026763046,0.49427481
10961,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.428125,8,1.64678E+12,87,TRUE,1,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.505319521,0.505319521,-0.077194521,0.494680479,FALSE,0.077194521,0.454262786
10962,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.633125,15,1.64678E+12,97,TRUE,2,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.714818499,0.714818499,-0.081693499,0.285181501,FALSE,0.081693499,0.695937533
10963,3I7DHKZYGO0LA8RI53HC1U3CTC75F1,1.64678E+12,line,864,1536,0.568125,11,1.64678E+12,122,FALSE,3,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",line-batch-1,exp-2,0.566081975,0.566081975,0.002043025,0.566081975,TRUE,0.002043025,0.60936062
