id,assignmentid,endtime,mark,pageheight,pagewidth,reportedaverage,seed,starttime,stimuliindex,flip,trial,variability,useragent,xdomain,ydomain,batch,experiment,data_average,average,error,normalized_average,overestimated,normalized_error,average_along_arc
25273,3C44YUNSI2PS5YV5YCV0B058A80PDO,1.64802E+12,point_arc,625,1366,0.5840625,17,1.64802E+12,44,FALSE,16,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36","{2.482812361735081,5.02005826321628,7.553703947671973,10.056274446427024,12.588453808267822,15.126706411947307,17.654134144975487,20.119113381701524,22.517005020100246,24.947059674150047,27.391574805637138,29.574289559268102,31.578086482418726,33.46522633761902,35.2844963205475,36.972879492062944,38.76141263453947,40.842807750773254,42.881191136600336,44.73604884690794,46.42286573020637,48.244658499634895,50.57676062269754,53.123343942182004,55.669911590847775,58.19296323931374,60.65805458626946,63.160229737679586,65.2332458864676,66.96333889984588,68.45891238505827,69.72059158245362,71.1667073668567,72.85191283712498,74.85929333729239,76.82966655087026,78.57998324801375,80.2502388785787,81.78021830642571,83.89564570075149,86.32330473764404,88.68579587715557,91.10088412360112,93.49336700226695,95.27616876476228,96.69859459735372,97.97061205772967,99.15968226866246,100.33668602115954,101.48920463860301,102.74558779776794,104.08975301180911,105.5096254301453,106.84470906311662,108.15897081958606,109.67775617627683,111.25971049000206,113.13997531398088,115.4770914612921,117.9999999856832}","{0,1}",point_arc-batch-1,exp-2,0.439083975,0.400118858,0.183943642,0.400118858,TRUE,0.183943642,0.426586362
25274,3X66WABAJXIOAT0924Z14I54I4OG3D,1.64802E+12,point_arc,625,1364,0.4940625,3,1.64802E+12,34,FALSE,48,"0,0.4","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36","{2.8621709619490083,5.72269948598813,8.756765043556035,12.15647809016892,15.397525534062858,18.74568999456476,22.09851919306185,25.357879910922122,28.287150686388127,30.904397816549363,32.89900796365583,34.7481292847173,37.752055243962594,39.59920144381433,42.36911068767397,45.13697174619631,47.847794887012306,48.70725452947661,49.45179316759631,50.264514432229866,51.26761840928143,52.459391564041375,54.11798601867565,55.361004629012264,57.66459060091488,60.12705082489469,60.754549395015985,61.38204796513728,62.025095334097585,63.67462428218318,64.78570278874537,65.7644713066185,66.54406985315956,67.26055250956276,67.97703516596594,68.81120276282385,69.64926732532372,71.34481049855013,73.47852300788311,75.92539806447368,77.61383748286156,80.5024145708439,82.63121890714929,84.04931143362369,86.46914755321221,89.08166091537112,91.10968615160145,92.57376448510587,93.60988389848904,96.06549023578916,98.69021141773906,100.58212021891694,102.87471660299617,106.01502591761559,108.23198596578851,109.57341568533163,111.22319463932587,113.09705321909351,115.68880349929181,117.99999999068179}","{0,1}",point_arc-batch-1,exp-2,0.483230044,0.40152069,0.09254181,0.40152069,TRUE,0.09254181,0.447422821
25276,3LJ7UR74RIDF2H0ZPMHF4767XG6N4D,1.64802E+12,point_arc,864,1536,0.438125,8,1.64802E+12,93,TRUE,36,"0,0","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36","{2.0031883202390164,3.8122217543628896,5.3880980866645185,6.858560077351637,8.216374347023331,9.321749553144814,10.455005166401588,11.632533321082784,12.799042966837321,13.960554306903905,14.909069038924892,15.85009597479584,17.06870737886945,18.44733169213498,20.145131144480256,22.206947758929683,24.68530163950863,26.74153136122921,28.405844979407938,29.939650148197433,31.897954547758992,34.321435274929684,37.01429737552059,39.147741358820646,40.95611221268364,42.77455035724415,44.44479958396827,45.790740941430904,47.712779722654666,49.96597620034576,52.488616461227934,55.172081884486424,57.49720606963238,59.712215749610074,62.38463733093302,65.1226375335142,67.85479856714684,70.53589223387398,73.18825091736221,75.90823690820393,78.53129533113047,81.08233966102365,83.81857805611396,86.54498396807675,89.2340133313666,91.59305627238956,93.72620868577005,95.64372716605477,97.40340019307881,99.20689718106202,101.08498211433995,103.13020969111459,105.25279926341467,107.19298302247485,108.92499242423865,110.6302567522973,112.45739086924371,114.25660190923402,116.1072420676806,117.99999999005234}","{0,1}",point_arc-batch-1,exp-2,0.517610759,0.505319521,-0.067194521,0.494680479,FALSE,0.067194521,0.489488623
25277,358UUM7WR03X02AAKRW3G3VRPFL7R5,1.64802E+12,point_arc,625,1024,0.0990625,3,1.64802E+12,32,FALSE,16,"0,0","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36","{2.4559188670908974,4.712322363110091,7.0702918967695245,9.473643481259362,11.896932754691335,14.384540310307662,16.838599976018052,19.257049958864947,21.76613563317705,24.21671519232933,26.53600077943873,28.682708500379068,30.56035639898502,32.134875965995334,33.58217017757432,35.17337153871208,36.8820132089437,38.627589674949924,40.28717892863658,41.751892943902234,43.23589093537894,44.775843987659535,46.360152883696585,47.909584144903064,49.717148370654336,51.47869445928585,53.32626589370904,55.102831995334,56.86730139061455,58.55299479931173,60.022474038782825,61.859843458491575,63.79478651017065,65.72017654647154,67.62043419711323,69.92628772828087,72.25443532538782,74.47285296965826,76.65191942975142,78.69593692791736,80.94334127641811,83.13097975074123,84.91925850922065,86.49594662137345,88.11901337771488,89.40286340109408,90.76450433453361,92.17468002243243,93.46302752288568,94.9061029689178,96.55205582812354,98.46240439941494,100.61339831869077,103.07835315280329,105.63163681087882,108.18219871665852,110.70739899495436,113.1341636616104,115.50335885666289,117.99999998575733}","{0,1}",point_arc-batch-1,exp-2,0.423526937,0.40152069,-0.30245819,0.40152069,FALSE,-0.30245819,0.418426284
25278,3WQ3B2KGE9GW99EJZET4FEZA47IB1Z,1.64802E+12,point_arc,625,1366,0.7090625,13,1.64802E+12,69,TRUE,37,"0,0","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","{2.1146857482577834,4.014927018456777,5.846386844308344,7.445023980408113,8.944361113428698,10.439624295421249,12.036642237028797,13.683205519271896,15.384008253294638,16.991343735326865,18.571648094776897,20.26870862636282,22.29317386880544,24.086218388380995,25.894949990747012,27.896891619898778,29.701386868842306,31.559695970956934,33.82341068314823,36.14965910341267,38.55088187906551,40.881012275030905,43.00601217540637,45.14309564988829,47.46447461368599,49.60171867577763,51.67530776678331,53.344316793265705,55.129813436994006,57.035616103662626,58.91587494891862,60.72743038167646,62.53657628487771,64.46937973689012,66.19170013764607,67.84438915869761,69.51661053231416,71.28487606405946,73.15314118732395,74.97502866785686,76.67939610900606,78.36440801535487,80.27953896061334,82.37979967920043,84.42954904875683,86.20576213852405,88.20538027277871,90.23864340715669,92.38694122312485,94.62437402581229,96.91644369439254,99.1050835738617,101.25601531766777,103.5467601510652,105.93711806623104,108.33442056292502,110.69280028184662,113.11281612316581,115.55477701698626,117.9999999856017}","{0,1}",point_arc-batch-1,exp-2,0.552520241,0.566073073,0.142989427,0.433926927,TRUE,-0.142989427,0.552603503
25279,3XIQGXAUMD8HXYWMTQ2V5LHFQW67X1,1.64802E+12,point_arc,625,1366,0.3890625,15,1.64802E+12,104,FALSE,23,"0,0","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","{2.1994361635991417,4.4521366329308645,6.609241757749845,9.22130426416174,12.200481994366092,15.153632202218096,18.100273530720234,20.8634727293219,23.73171198185906,26.5023964314061,29.10139384813286,31.70418704719168,34.564484515617686,37.39931652963009,40.28799892979606,43.06267837529125,45.512585277012704,48.33588584876103,50.96164720008777,53.25075083608674,55.62324350943535,57.924919700614964,60.73343195173961,63.64121427976541,66.30338124107492,68.69347243859838,70.70487369870244,72.61043040151101,74.7478804003581,76.55572659618268,77.96733875205199,79.01260359692533,80.07183298519078,81.58553962188901,83.09645837922439,84.5351321471406,85.86771347685477,86.9601123160952,88.03549086317776,89.48826961174602,91.48440426598025,94.08260301174874,96.63319422460472,99.01743463239357,100.69718045037877,102.13307994036029,103.50669967468173,104.90631544802075,106.26257229614114,107.4211589815876,108.47732740422593,109.43123737989531,110.53163397373292,111.84835325953728,113.14867231521848,114.38624370178376,115.50833841180346,116.43861975717039,117.21930987669917,117.99999999622794}","{0,1}",point_arc-batch-1,exp-2,0.328311979,0.285181501,0.103880999,0.285181501,TRUE,0.103880999,0.305370635
25280,3RRCEFRB7NCD18B2MWC6DC6DGRSB4C,1.64802E+12,point_arc,714,1536,0.598125,17,1.64802E+12,47,TRUE,17,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36","{3.737267397307474,7.488151363050824,11.185936192124633,14.947754566864484,18.683338397879094,22.267835596203362,25.9003340554566,29.280670618318318,32.367097472344824,35.53932473293136,37.26759387175347,39.935305946036046,42.49715672599702,46.1974619903063,48.51040608935316,49.64535967657378,52.463262307335114,55.58237362210984,57.18082501112106,58.54769163405029,59.938478425837985,62.64576914007007,65.02674363395197,66.73501382473343,68.15184553833876,68.81675396425256,69.48166239016636,70.21552783688989,71.19325504479934,72.12268222393203,72.82421554896943,73.52574887400684,74.3051127174019,75.24687912079925,76.13373677085934,76.801384721854,77.4690326728487,78.29169045727348,79.71651960018507,81.78289306101858,83.95059715420075,85.10290733039955,86.76360099478553,90.36757594416908,92.33436852839547,93.13755112802274,93.94073372765,96.29122065803149,97.74610588777182,99.46911584991484,102.01639569492946,104.00288424568778,104.76994076988703,105.53699729408623,106.78090421250167,108.71210287131586,110.53625750975486,112.57451484964959,116.1653131380799,117.99999999300107}","{0,1}",point_arc-batch-1,exp-2,0.50126693,0.599881142,-0.001756142,0.400118858,FALSE,0.001756142,0.538876895
25281,3S4AW7T80CIPEHXED910RF2ISL6L49,1.64802E+12,point_arc,625,1366,0.5240625,2,1.64802E+12,21,TRUE,15,"0,0","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","{2.1685462971070164,3.8831675586603738,5.608741851694989,7.6854371789323785,9.889329416684431,12.099146691447288,14.275794212924776,16.456189008630655,18.493992519057663,20.15328782132445,21.575909807958702,23.063356202396385,24.66138767437781,26.411697823248026,28.245403246486347,30.24377355992585,32.205440512810945,33.88732712200777,35.87434991852482,37.865901081677315,39.835595181837625,41.74054526018527,43.79307930925302,45.79035308289229,47.76944488740733,49.95287989695868,52.169311907602506,54.39581723269829,56.618970993479486,58.80891539083354,60.915909605383575,62.92052256198625,64.75463716217772,66.5299553697385,68.43958702621447,70.32507141581488,72.30990024178138,74.24706543637956,76.0992950534086,77.89342571843532,79.59710628431688,81.39391683104456,83.26964608661848,85.07256389512445,86.82618476251807,88.59434232189348,90.38819522116853,92.29143282922608,94.35599762312962,96.4386041156509,98.44815693085403,100.5401509254298,102.66026465443738,104.7851966608887,106.95379622123482,109.17474311524782,111.40070929636332,113.62704706241662,115.82923233194461,117.99999998598346}","{0,1}",point_arc-batch-1,exp-2,0.570426965,0.571293782,-0.047231282,0.428706218,FALSE,0.047231282,0.579264691
25282,336YQZE83WERGIJZRQLPWKNLSMR5M0,1.64802E+12,point_arc,1297,2560,0.4790625,17,1.64802E+12,47,TRUE,28,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","{3.737267397307474,7.488151363050824,11.185936192124633,14.947754566864484,18.683338397879094,22.267835596203362,25.9003340554566,29.280670618318318,32.367097472344824,35.53932473293136,37.26759387175347,39.935305946036046,42.49715672599702,46.1974619903063,48.51040608935316,49.64535967657378,52.463262307335114,55.58237362210984,57.18082501112106,58.54769163405029,59.938478425837985,62.64576914007007,65.02674363395197,66.73501382473343,68.15184553833876,68.81675396425256,69.48166239016636,70.21552783688989,71.19325504479934,72.12268222393203,72.82421554896943,73.52574887400684,74.3051127174019,75.24687912079925,76.13373677085934,76.801384721854,77.4690326728487,78.29169045727348,79.71651960018507,81.78289306101858,83.95059715420075,85.10290733039955,86.76360099478553,90.36757594416908,92.33436852839547,93.13755112802274,93.94073372765,96.29122065803149,97.74610588777182,99.46911584991484,102.01639569492946,104.00288424568778,104.76994076988703,105.53699729408623,106.78090421250167,108.71210287131586,110.53625750975486,112.57451484964959,116.1653131380799,117.99999999300107}","{0,1}",point_arc-batch-1,exp-2,0.50126693,0.599881142,-0.120818642,0.400118858,FALSE,0.120818642,0.538876895
25283,3TOK3KHVJUIU3PIUSZFZM8QMES17OW,1.64802E+12,point_arc,729,1536,0.3290625,16,1.64802E+12,116,FALSE,28,"0,0","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36","{2.521348640557312,4.863435822772399,7.0694390810171885,9.067245653902512,10.941037492361598,12.949232993139683,15.01416275119609,17.078077102857915,19.25863027640871,21.24093726076407,22.82473322529403,24.264917223456468,26.137642347324284,28.10242120735933,30.389447783724005,32.894563441865124,35.384701573933924,38.01360795084768,40.537534349721284,42.81688653781408,45.340205663501834,47.91258577678737,50.17330340283952,51.78404958826403,53.86023998421924,56.29671182585663,58.95607845923347,61.54567086374853,64.18707363151847,66.76575817832004,69.14553596854331,71.55973456222357,73.50959818497442,75.24480455296288,76.98444774129212,78.5151822123924,79.72101258130253,81.4503511885236,82.92828706382582,84.1967833353488,85.27922906822235,86.45968353229233,87.8354566757195,89.20666713399666,90.76146632706187,92.6145497419453,94.64236830811666,97.0153394555415,99.65819710609578,102.21581891705391,104.09809101390911,105.99243231431072,107.73710518483254,109.01768179634219,110.26487591885561,111.73438922325417,113.19548358878623,114.62010462268697,116.00316389920741,117.9999999892456}","{0,1}",point_arc-batch-1,exp-2,0.400488998,0.374941292,-0.045878792,0.374941292,FALSE,-0.045878792,0.380169877
