id,assignmentid,endtime,mark,pageheight,pagewidth,reportedaverage,seed,starttime,stimuliindex,flip,trial,variability,useragent,xdomain,ydomain,batch,experiment,data_average,average,error,normalized_average,overestimated,normalized_error,average_along_arc
18578,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.8340625,19,1.6473E+12,137,TRUE,18,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.743395282,0.743395282,0.090667218,0.256604718,TRUE,-0.090667218,0.742080674
18579,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.6390625,13,1.6473E+12,65,TRUE,19,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.566073073,0.566073073,0.072989427,0.433926927,TRUE,-0.072989427,0.555494213
18580,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.4290625,13,1.6473E+12,64,FALSE,20,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.433926927,0.433926927,-0.004864427,0.433926927,FALSE,-0.004864427,0.444505787
18581,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.6690625,19,1.6473E+12,139,TRUE,21,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.743395282,0.743395282,-0.074332782,0.256604718,FALSE,0.074332782,0.713828969
18582,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.4790625,17,1.6473E+12,42,FALSE,22,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.400118858,0.400118858,0.078943642,0.400118858,TRUE,0.078943642,0.457201443
18583,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.2540625,19,1.6473E+12,138,FALSE,23,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.256604718,0.256604718,-0.002542218,0.256604718,FALSE,-0.002542218,0.286171031
18584,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.7590625,14,1.6473E+12,77,TRUE,24,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.706750809,0.706750809,0.052311691,0.293249191,TRUE,-0.052311691,0.697601992
18585,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.6690625,11,1.6473E+12,126,FALSE,25,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.566081975,0.566081975,0.102980525,0.566081975,TRUE,0.102980525,0.60936062
18586,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.6290625,17,1.6473E+12,43,TRUE,26,"0,0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.599881142,0.599881142,0.029181358,0.400118858,TRUE,-0.029181358,0.542798557
18587,3WMOAN2SRCXEWUJE9II2DX6K9D3NVE,1.6473E+12,point,969,1920,0.5090625,8,1.6473E+12,89,TRUE,27,"0,0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118}","{0,1}",point-batch-1,exp-2,0.505319521,0.505319521,0.003742979,0.494680479,TRUE,-0.003742979,0.497345749
