participantId,trialId,trialOrder,responseId,status,rejectReason,rejectTime,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,cleanedDuration,configHash
"558d8d71fdf99b534f79b352","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"558d8d71fdf99b534f79b352","introduction","0","prolificId","completed","undefined","undefined","100.00","undefined","undefined","Please enter your Prolific ID (without any spaces):","558d8d71fdf99b534f79b352","undefined","undefined","undefined","2025-04-23T22:43:42.229Z","2025-04-23T22:43:47.504Z","5275","5275","eb0106fed740c198c360404037c87f63bbf88d0bdcf8d5b46f37249f8855f79e"
"558d8d71fdf99b534f79b352","consent","1","consentApproval","completed","undefined","undefined","100.00","undefined","undefined","Do you consent to the study and wish to continue?","Accept","undefined","undefined","undefined","2025-04-23T22:43:47.546Z","2025-04-23T22:44:28.978Z","41432","41432","eb0106fed740c198c360404037c87f63bbf88d0bdcf8d5b46f37249f8855f79e"
"558d8d71fdf99b534f79b352","calibration","3","pixelsPerMM","completed","undefined","undefined","100.00","undefined","undefined","Calibration results","4.4","undefined","undefined","undefined","2025-04-23T22:44:42.924Z","2025-04-23T22:46:51.301Z","128377","128377","eb0106fed740c198c360404037c87f63bbf88d0bdcf8d5b46f37249f8855f79e"
"558d8d71fdf99b534f79b352","distance calibration","4","dist-calibration-MM","completed","undefined","undefined","100.00","undefined","undefined","Distance Calibration results in MM","635.39754674652","undefined","undefined","undefined","2025-04-23T22:46:51.343Z","2025-04-23T22:48:14.627Z","83284","83284","eb0106fed740c198c360404037c87f63bbf88d0bdcf8d5b46f37249f8855f79e"
"558d8d71fdf99b534f79b352","distance calibration","4","dist-calibration-CM","completed","undefined","undefined","100.00","undefined","undefined","Distance Calibration results in CM","63.539754674652","undefined","undefined","undefined","2025-04-23T22:46:51.343Z","2025-04-23T22:48:14.627Z","83284","83284","eb0106fed740c198c360404037c87f63bbf88d0bdcf8d5b46f37249f8855f79e"
"558d8d71fdf99b534f79b352","distance calibration","4","ball-positions","completed","undefined","undefined","100.00","undefined","undefined","Position of balls in pixels","[818,948,1118,1108,1082]","undefined","undefined","undefined","2025-04-23T22:46:51.343Z","2025-04-23T22:48:14.627Z","83284","83284","eb0106fed740c198c360404037c87f63bbf88d0bdcf8d5b46f37249f8855f79e"
"558d8d71fdf99b534f79b352","distance calibration","4","square-position","completed","undefined","undefined","100.00","undefined","undefined","Position of the black square in pixels","1686","undefined","undefined","undefined","2025-04-23T22:46:51.343Z","2025-04-23T22:48:14.627Z","83284","83284","eb0106fed740c198c360404037c87f63bbf88d0bdcf8d5b46f37249f8855f79e"
"558d8d71fdf99b534f79b352","task1_train_1","8","location-x","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The x-axis location of your click","0.53","undefined","undefined","undefined","2025-04-23T22:49:05.205Z","2025-04-23T22:49:35.663Z","30458","30458","eb0106fed740c198c360404037c87f63bbf88d0bdcf8d5b46f37249f8855f79e"
"558d8d71fdf99b534f79b352","task1_train_1","8","location-y","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The y-axis location of your click","0.3602348744788432","undefined","undefined","undefined","2025-04-23T22:49:05.205Z","2025-04-23T22:49:35.663Z","30458","30458","eb0106fed740c198c360404037c87f63bbf88d0bdcf8d5b46f37249f8855f79e"
