participantId,trialId,trialOrder,responseId,answer,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_training,parameters_x,parameters_y,parameters_taskIndex
"5df11e6cdc85350234932daa","participantTags","","participantTags","[""virtual-chinrest""]","","","","","","","","","",""
"5df11e6cdc85350234932daa","introduction","0","prolificId","5df11e6cdc85350234932daa","3882","","","","","","","","",""
"5df11e6cdc85350234932daa","introduction","0","windowEvents","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":11,""mousedown"":1,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","consent","1","consentApproval","Accept","64193","","","","","","","","",""
"5df11e6cdc85350234932daa","consent","1","windowEvents","{""focus"":3,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":23,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":90,""visibility"":2}","","","","","","","","","",""
"5df11e6cdc85350234932daa","chinrest_intro","2","","","16001","","","","","","","","",""
"5df11e6cdc85350234932daa","chinrest_intro","2","windowEvents","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":22,""mousedown"":1,""mouseup"":1,""resize"":1,""scroll"":1,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","$virtual-chinrest.components.card-size","3","pixelsPerMM","4.4859813084112155","91479","pixelsPerMM","85.6","53.98","","","","","",""
"5df11e6cdc85350234932daa","$virtual-chinrest.components.card-size","3","windowEvents","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":73,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","$virtual-chinrest.components.blindspot-distance","4","dist-calibration-MM","426.37396879902207","238634","","","","13.5","","","","",""
"5df11e6cdc85350234932daa","$virtual-chinrest.components.blindspot-distance","4","dist-calibration-CM","42.637396879902205","238634","","","","13.5","","","","",""
"5df11e6cdc85350234932daa","$virtual-chinrest.components.blindspot-distance","4","ball-positions","[643,627,657,659,633]","238634","","","","13.5","","","","",""
"5df11e6cdc85350234932daa","$virtual-chinrest.components.blindspot-distance","4","square-position","1095.5","238634","","","","13.5","","","","",""
"5df11e6cdc85350234932daa","$virtual-chinrest.components.blindspot-distance","4","windowEvents","{""focus"":8,""input"":0,""keydown"":32,""keyup"":32,""mousemove"":196,""mousedown"":10,""mouseup"":10,""resize"":1,""scroll"":1,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","study_overview","5","","","50550","","","","","","","","",""
"5df11e6cdc85350234932daa","study_overview","5","windowEvents","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":7,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","task1_intro","6","","","25032","","","","","","","","",""
"5df11e6cdc85350234932daa","task1_intro","6","windowEvents","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":25,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","block5_train_1","7","location-x","0.2","108146","","","","","Block5","true","0.2","0.75",""
"5df11e6cdc85350234932daa","block5_train_1","7","location-y","0.75","108146","","","","","Block5","true","0.2","0.75",""
"5df11e6cdc85350234932daa","block5_train_1","7","slider-x","0.21","108146","","","","","Block5","true","0.2","0.75",""
"5df11e6cdc85350234932daa","block5_train_1","7","slider-y","0.75","108146","","","","","Block5","true","0.2","0.75",""
"5df11e6cdc85350234932daa","block5_train_1","7","windowEvents","{""focus"":6,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":202,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":48,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","block5_train_2","8","location-x","-1.5","47856","","","","","Block5","true","-1.5","0.4",""
"5df11e6cdc85350234932daa","block5_train_2","8","location-y","0.4","47856","","","","","Block5","true","-1.5","0.4",""
"5df11e6cdc85350234932daa","block5_train_2","8","slider-x","-1.5","47856","","","","","Block5","true","-1.5","0.4",""
"5df11e6cdc85350234932daa","block5_train_2","8","slider-y","0.4","47856","","","","","Block5","true","-1.5","0.4",""
"5df11e6cdc85350234932daa","block5_train_2","8","windowEvents","{""focus"":4,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":67,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":8,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","task1_test_intro","9","","","15587","","","","","","","","",""
"5df11e6cdc85350234932daa","task1_test_intro","9","windowEvents","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":9,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","block5_test_9","10","location-x","-2.9","38948","","","","","Block5","false","","",""
"5df11e6cdc85350234932daa","block5_test_9","10","location-y","0.21","38948","","","","","Block5","false","","",""
"5df11e6cdc85350234932daa","block5_test_9","10","slider-x","-2.91","38948","","","","","Block5","false","","",""
"5df11e6cdc85350234932daa","block5_test_9","10","slider-y","0.22","38948","","","","","Block5","false","","",""
"5df11e6cdc85350234932daa","block5_test_9","10","windowEvents","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":101,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":8,""visibility"":0}","","","","","","","","","",""
"5df11e6cdc85350234932daa","block5_test_8","11","location-x","1.68","50561","","","","","Block5","false","","",""
"5df11e6cdc85350234932daa","block5_test_8","11","location-y","0.46","50561","","","","","Block5","false","","",""
"5df11e6cdc85350234932daa","block5_test_8","11","slider-x","1.6","50561","","","","","Block5","false","","",""
