participantId,trialId,trialOrder,responseId,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_training,parameters_x,parameters_y,parameters_taskIndex
"acd0f51a-3b40-449f-93f8-9a136a166178","participantTags","","participantTags","[""virtual-chinrest""]","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","introduction","0","prolificId","sheng-testing","5722","5722","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","introduction","0","windowEvents","{""focus"":1,""input"":10,""keydown"":10,""keyup"":9,""mousemove"":11,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","consent","1","consentApproval","Accept","19419","19419","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","consent","1","windowEvents","{""focus"":3,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":41,""mousedown"":3,""mouseup"":2,""resize"":0,""scroll"":31,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","chinrest_intro","2","","","4392","4392","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","chinrest_intro","2","windowEvents","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":11,""mousedown"":0,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","$virtual-chinrest.components.card-size","3","pixelsPerMM","5","13115","13115","pixelsPerMM","85.6","53.98","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","$virtual-chinrest.components.card-size","3","windowEvents","{""focus"":5,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":101,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","$virtual-chinrest.components.blindspot-distance","4","dist-calibration-MM","125.29221708431973","7418","7418","","","","13.5","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","$virtual-chinrest.components.blindspot-distance","4","dist-calibration-CM","12.529221708431972","7418","7418","","","","13.5","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","$virtual-chinrest.components.blindspot-distance","4","ball-positions","[950.5,948.5,946.5,948.5,946.5]","7418","7418","","","","13.5","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","$virtual-chinrest.components.blindspot-distance","4","square-position","1098.5","7418","7418","","","","13.5","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","$virtual-chinrest.components.blindspot-distance","4","windowEvents","{""focus"":1,""input"":0,""keydown"":10,""keyup"":10,""mousemove"":14,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
