participantId,trialId,trialOrder,responseId,status,description,instruction,responsePrompt,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_params
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","participantTags","null","participantTags","undefined","undefined","undefined","undefined","[""virtual-chinrest""]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","introduction","0","prolificId","completed","undefined","undefined","Please enter your Prolific ID (without any spaces):","kjnfiofnk,m f","848391","216805","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","introduction","0","windowEvents","undefined","undefined","undefined","undefined","{""focus"":4,""input"":4,""keydown"":8,""keyup"":8,""mousemove"":28,""mousedown"":9,""mouseup"":8,""resize"":0,""scroll"":0,""visibility"":2}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","consent","1","consentApproval","completed","undefined","undefined","Do you consent to the study and wish to continue?","Accept","15965","15965","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","consent","1","windowEvents","undefined","undefined","undefined","undefined","{""focus"":1,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":50,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":43,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","calibration_intro","2","","completed","undefined","undefined","undefined","undefined","32946","32946","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","calibration_intro","2","windowEvents","undefined","undefined","undefined","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":96,""mousedown"":1,""mouseup"":1,""resize"":11,""scroll"":1,""visibility"":3}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","$virtual-chinrest.components.card-size","3","pixelsPerMM","completed","undefined","undefined","Calibration results","5.116822429906542","29803","29803","pixelsPerMM","85.6","53.98","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","$virtual-chinrest.components.card-size","3","windowEvents","undefined","undefined","undefined","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":93,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","$virtual-chinrest.components.blindspot-distance","4","dist-calibration-MM","completed","undefined","undefined","Distance Calibration results in MM","473.445850324111","44323","44323","undefined","undefined","undefined","13.5","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","$virtual-chinrest.components.blindspot-distance","4","dist-calibration-CM","completed","undefined","undefined","Distance Calibration results in CM","47.3445850324111","44323","44323","undefined","undefined","undefined","13.5","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","$virtual-chinrest.components.blindspot-distance","4","ball-positions","completed","undefined","undefined","Position of balls in pixels","[554,548,588,552,550]","44323","44323","undefined","undefined","undefined","13.5","undefined","undefined"
