"","participantId","task","id","rsp_time","status","data.select.x","data.select.y","pixel.select.x","pixel.select.y","param.mu","param.sigma","param.lambda","param.p","param.q","pixelToMM","dist_to_screen","data.select.left_area","data.ans.x","pixel.med.x","pixel.mod.x","phy.select.x","phy.med.x","phy.mod.x","va.select.x","va.med.x","va.mod.x"
"1","67f03733938aa3f0d17ce8a8","task1","1",8.22,"completed",0.34,0.218605710964155,335.69,323.650744169159,0.41,1.5,-0.01,3.69,16.55,4.6,668.258963114506,0.489697578893479,0.387127810858969,338.211337880955,339.435,62.1065217391305,62.6546386697728,62.920652173913,5.32111616602971,5.36800894681763,5.39076642308711
"2","67f03733938aa3f0d17ce8a8","task1","2",5.467,"completed",0.09,0.31052374733982,322.315,287.343119800771,-0.65,1.17,0.53,2.92,5.89,4.6,668.258963114506,0.4692395323358,0.189604871686381,327.643860635221,282.725,59.1989130434783,60.3573610076568,50.5923913043478,5.0723334860035,5.17145921908957,4.33566521389853
"3","67f03733938aa3f0d17ce8a8","task1","3",5.354,"completed",0.34,0.521064639028369,335.69,204.179467583794,0.42,0.62,-0.15,3.94,37.73,4.6,668.258963114506,0.53331408923348,0.276060567467249,332.269240359498,339.97,62.1065217391305,61.3628783390213,63.0369565217391,5.32111616602971,5.25749275613303,5.40071613562974
"4","67f03733938aa3f0d17ce8a8","task1","4",5.059,"completed",0.09,0.350076535973942,322.315,271.719768290293,-0.89,1.05,0.79,2.6,27.22,4.6,668.258963114506,0.467448266910563,0.183908962486328,327.339129493019,269.885,59.1989130434783,60.2911151071779,47.8010869565217,5.0723334860035,5.16579091681364,4.09666580521768
"5","67f03733938aa3f0d17ce8a8","task1","5",5.606,"completed",-0.43,0.634067966307905,294.495,159.543153308378,-0.37,0.51,-0.15,3.91,46.15,4.6,668.258963114506,0.536955412831699,-0.488287615313976,291.376612580702,297.705,53.1510869565217,52.4731766479788,53.8489130434783,4.55471490898892,4.49668224805765,4.61445002274184
"6","67f03733938aa3f0d17ce8a8","task1","6",4.765,"completed",-0.2,0.296800308327529,306.8,292.763878210626,-0.59,1.17,0.42,3.14,21.39,4.6,668.258963114506,0.405968702355363,0.118541630842392,323.841977250068,285.935,55.8260869565217,59.53086461958,51.2902173913044,4.78368577862855,5.10073860336764,4.39540925126028
"7","67f03733938aa3f0d17ce8a8","task1","7",4.473,"completed",0.3,0.230180679583476,333.55,319.078631564527,-0.75,1.4,0.57,4.43,49.01,4.6,668.258963114506,0.457420712443779,0.48530990214047,343.464079764515,277.375,61.6413043478261,63.7965390792424,49.429347826087,5.28131424926767,5.46569560003582,4.23608659366237
"8","67f03733938aa3f0d17ce8a8","task1","8",5.489,"completed",-0.93,0.381922834836586,267.745,259.140480239549,-0.38,0.94,-0.67,3.08,17.87,4.6,668.258963114506,0.623217289183207,-1.25737621313474,250.230372597291,297.17,47.3358695652174,43.5283418689764,53.7326086956522,4.05682904740581,3.73075286764243,4.60449434382138
"9","67f03733938aa3f0d17ce8a8","task1","9",6.02,"completed",0.97,0.463003053272738,369.395,227.113793957269,1.2,0.74,-0.27,3.13,24.75,4.6,668.258963114506,0.528288381047393,0.908818692072846,366.121800025897,381.7,69.4336956521739,68.7221304404125,72.1086956521739,5.94782069973372,5.88697443304093,6.17653086425379
"10","67f03733938aa3f0d17ce8a8","task1","10",6.263,"completed",0.59,0.668605985606372,349.065,145.900635685483,0.8,0.56,-0.79,2.91,43.5,4.6,668.258963114506,0.754241956763307,0.200540230179453,328.228902314601,360.3,65.0141304347826,60.4845439814349,67.4565217391304,5.56984865899428,5.18234150509937,5.77874346538787
"11","5c8f2ac8d7ecab0018d529aa","task1","1",13.499,"completed",0.05,0.167376113777503,320.175,343.886435057886,-0.15,1.87,0.1,4.74,45.22,3.83529411764706,663.935154559709,0.483475254609397,0.148728465400361,325.456972898919,309.475,70.4444018404908,71.8216033632152,67.6545245398773,6.07346492011836,6.1919735369847,5.8333555220309
"12","5c8f2ac8d7ecab0018d529aa","task1","2",13.248,"completed",0.28,0.268249610506334,332.48,304.041403849998,1.47,1.31,-0.71,2.98,38.74,3.83529411764706,663.935154559709,0.525102085834001,0.1859128956275,327.446339916071,396.145,73.6527607361963,72.3403033523499,90.2525306748466,6.34952462132,6.23660440831893,7.77658513335036
"13","5c8f2ac8d7ecab0018d529aa","task1","3",6.538,"completed",-0.8,0.64545817224329,274.7,155.044021963901,-0.92,0.56,0.36,2.71,31.15,3.83529411764706,663.935154559709,0.397572536388964,-0.640162685891096,283.251296304826,268.28,58.5874233128834,60.8170557850007,56.9134969325153,5.05265669159778,5.24467963176693,4.90847418041628
"14","5c8f2ac8d7ecab0018d529aa","task1","4",8.641,"completed",0.11,0.537427456619961,323.385,197.716154635115,-0.17,0.64,0.49,3.34,16.64,3.83529411764706,663.935154559709,0.405886473863648,0.286151063165802,332.80908187937,308.405,71.2813650306748,73.7385642937009,67.3755368098159,6.14548742766407,6.35690649524975,5.80934172741597
"15","5c8f2ac8d7ecab0018d529aa","task1","5",11.417,"completed",-0.03,0.557842087677683,315.895,189.652375367315,-0.63,0.64,0.83,3.42,6.69,3.83529411764706,663.935154559709,0.426729174643947,0.102939598321749,323.007268510214,283.795,69.3284509202454,71.182876758798,60.9588190184049,5.97742744811721,6.13701254830044,5.25688774082116
"16","5c8f2ac8d7ecab0018d529aa","task1","6",9.985,"completed",0.18,0.285976256924118,327.13,297.039378514973,-1,1.18,0.7,3.46,40.93,3.83529411764706,663.935154559709,0.4959866815938,0.19404312466871,327.881307169776,264,72.2578220858896,72.4537150596042,55.7975460122699,6.22950754045203,6.24636252049527,4.81234383781463
"17","5c8f2ac8d7ecab0018d529aa","task1","7",7.265,"completed",-1.13,0.297021579303839,257.045,292.676476174984,-0.54,1.11,-0.32,3.62,30.42,3.83529411764706,663.935154559709,0.483946042567094,-1.07599888049274,259.934059893639,288.61,53.9841257668712,54.7374082544763,62.214263803681,4.65611763514317,4.72101507770387,5.36499661531782
"18","5c8f2ac8d7ecab0018d529aa","task1","8",9.361,"completed",0.88,0.222647469261846,364.58,322.054249641571,0.88,1.43,0,4.51,6.6,3.83529411764706,663.935154559709,NA,0.88,364.58,364.58,82.0223926380368,82.0223926380368,82.0223926380368,7.06932519115507,7.06932519115507,7.06932519115507
"19","5c8f2ac8d7ecab0018d529aa","task1","9",7.711,"completed",0.43,0.203183464336807,340.505,329.742531586961,0.68,1.58,-0.13,4.52,4.36,3.83529411764706,663.935154559709,0.51420354221378,0.36009411536334,336.765035171939,353.88,75.7451687116564,74.7700245080208,79.2325153374233,6.52952401861139,6.44564119721206,6.82945091159094
"20","5c8f2ac8d7ecab0018d529aa","task1","10",6.51,"completed",-0.97,0.251834958599488,265.605,310.525191353202,-1.05,1.29,0.06,3.8,34.62,3.83529411764706,663.935154559709,0.490146841095843,-0.930874380402959,267.698220648442,261.325,56.216027607362,56.7618059972931,55.1000766871166,4.84839351779209,4.89540760944151,4.75225892329605
"21","6740e1e09ca406ab781318cb","task1","1",45.304,"completed",0.4,0.176389017991555,338.9,340.326337893336,-1.84,1.41,0.35,3.63,16.83,5.12941176470588,704.446770176702,0.823455914632613,-1.09878870535093,258.714804263725,219.06,56.322247706422,40.6898127578363,32.9589449541284,4.57850022643051,3.30856322069424,2.68020829302022
"22","6740e1e09ca406ab781318cb","task1","2",12.13,"completed",3.26,0.0910066475860225,491.91,374.052374203521,1.04,1.87,-0.24,4.65,43.1,5.12941176470588,704.446770176702,0.959028085759134,0.327369564020735,335.014271675109,373.14,86.1521788990826,55.5647089274869,62.9974770642202,6.99842462511551,4.5169832322891,5.12045343877705
"23","6740e1e09ca406ab781318cb","task1","3",6.164,"completed",-0.44,0.30012525129393,293.96,291.450525738898,0.35,0.98,0.15,4.23,37.86,5.12941176470588,704.446770176702,0.171783198176343,0.580446655110815,348.553896048429,336.225,47.5610091743119,58.2043145965973,55.800745412844,3.86687934376979,4.73132459184357,4.53615118565193
"24","6740e1e09ca406ab781318cb","task1","4",4.322,"completed",2.33,0.291698443244911,442.155,294.77911491826,1.69,1.08,-0.19,3.01,20.33,5.12941176470588,704.446770176702,0.795529517642056,1.39357332790257,392.056173042787,407.915,76.4522362385321,66.6852630932039,69.7770068807339,6.21210680426115,5.41976328918699,5.67064002592005
"25","6740e1e09ca406ab781318cb","task1","5",81.232,"completed",-0.25,0.00953745991305164,304.125,406.232703334345,-0.56,0.72,-0.81,4.5,24.47,5.12941176470588,704.446770176702,0.999839769745881,-1.44480150129585,240.203119680672,287.54,49.5427178899083,37.0808834239843,46.3094036697248,4.02786928941717,3.01525658291628,3.765193574733
"26","6740e1e09ca406ab781318cb","task1","6",10.329,"completed",-1.75,0.341846135857016,223.875,274.970776336479,-1.69,0.93,-0.06,4.29,29.74,5.12941176470588,704.446770176702,0.509489221948464,-1.77775877872153,222.389905338398,227.085,33.8976490825688,33.6081237471647,34.5234518348624,2.75651430272248,2.7329794310211,2.80738362171421
"27","6740e1e09ca406ab781318cb","task1","7",21.771,"completed",-2,0.0130529792894149,210.5,404.844073180681,0.34,0.63,-0.62,4.78,7.43,5.12941176470588,704.446770176702,0.00198562912482814,-0.263833532025777,303.384906036621,335.69,31.2901376146789,49.3984335163137,55.6964449541284,2.5445473377748,4.01614845247293,4.52768122835607
"28","6740e1e09ca406ab781318cb","task1","8",18.086,"completed",1.37,0.569879267318958,390.795,184.897689409012,1.95,0.64,-0.85,2.96,24.41,5.12941176470588,704.446770176702,0.584636047948181,1.21882490774077,382.707132564131,421.825,66.4393922018349,64.8626290549338,72.4888188073394,5.39981005566777,5.27184278998029,5.89064284099938
"29","6740e1e09ca406ab781318cb","task1","9",13.492,"completed",2.02,0.261808232746753,425.57,306.585748065032,0.42,1.11,0.44,4.28,17.92,5.12941176470588,704.446770176702,0.737174413116963,1.17533416104548,380.380377615933,339.97,73.2189220183486,64.4090185719135,56.5308486238532,5.94986701043063,5.23502612632392,4.59543949302904
"30","6740e1e09ca406ab781318cb","task1","10",4.558,"completed",1.93,0.272830238074701,420.755,302.232055960493,0.92,1.01,-0.08,4.19,44.02,5.12941176470588,704.446770176702,0.850307479579842,0.793333517984856,359.94334321219,366.72,72.2802178899082,60.424734341826,61.745871559633,5.87372106981484,4.91160161263306,5.01885393755637
"31","67e557aa25a43e8dde6c806c","task1","1",66.582,"completed",0.9,0.352732607915397,365.65,270.670619873418,1.43,0.96,-0.59,3.6,38.11,4.64705882352941,547.956608573329,0.607484995450198,0.593281061549012,349.240536792872,394.005,67.9246835443038,64.3935332339092,74.0263924050633,7.0933092424684,6.72542394643649,7.72865344498007
"32","67e557aa25a43e8dde6c806c","task1","2",45.457,"completed",0.71,0.598489830327674,355.485,173.596517020569,0.69,0.54,0.14,4.03,13.33,4.64705882352941,547.956608573329,0.441969797779882,0.806964546304478,360.67260322729,354.415,65.7372784810127,66.8535981628345,65.5070253164557,6.86543592539695,6.98173563581975,6.8414460663847
"33","67e557aa25a43e8dde6c806c","task1","3",27.747,"completed",-0.06,0.212862074074713,314.29,325.919480740488,0.67,1.48,-0.35,4.76,39.58,4.64705882352941,547.956608573329,0.519531629776099,-0.151777011989655,309.379929858554,353.345,56.8725316455696,55.8159342733596,65.2767721518987,5.94141122194049,5.83122190270911,6.81745560695218
