participantId,task,id,rsp_time,status,data.select.x,data.select.y,pixel.select.x,pixel.select.y,param.mu,param.sigma,param.lambda,param.p,param.q,data.ans.x,data.ans.y,data.left.grad,data.right.grad,pixelToMM,dist_to_screen,phy.select.x,phy.select.y,va.select.x,va.select.y,pixel.ans.x,pixel.ans.y,phy.ans.x,phy.ans.y,va.ans.x,va.ans.y,flat
67f03733938aa3f0d17ce8a8,task2,1,9.929,completed,-0.97,0.4112356589229126,265.605,247.56191472544955,-1.05,0.78,0.11,4.13,19.23,-1.05,0.4112380976991332,0.5056674491550955,-0.2767135379557896,4.6,668.2589631145061,46.87065217391305,35.31262723359792,4.01699130858812,3.026961113671442,261.325,247.56095140884239,45.94021739130435,35.31283665025166,3.9373129263115767,3.0269790562965717,0.39119049355544255
67f03733938aa3f0d17ce8a8,task2,2,5.912,completed,-0.53,0.6251032643527704,289.1449999999999,163.08421058065568,-0.5,0.57,0.1,2.77,13.06,-0.5,0.6251749715923188,0.4882226515963085,-0.6122485342275379,4.6,668.2589631145061,51.988043478260856,53.677345525944425,4.455150898011453,4.599763779401911,290.75,163.05588622103406,52.33695652173913,53.68350299542738,4.485020814804617,4.600290863699344,0.5502355929119231
67f03733938aa3f0d17ce8a8,task2,3,8.642,completed,-0.05,0.26931995001191594,314.825,303.61861974529324,-0.15,1.16,0.08,4.88,17.4,-0.15,0.2693200307432197,0.06201464450105397,-0.029176431997024875,4.6,668.2589631145061,57.57065217391305,23.126387011892774,4.932994132113234,1.9826328179584018,309.475,303.61858785642823,56.407608695652186,23.126393944254733,4.833457060675231,1.9826334121534905,0.04559553824903942
67f03733938aa3f0d17ce8a8,task2,4,8.547,completed,-0.14,0.2973574858419656,310.01,292.54379309242364,-0.36,1.07,-0.7,4.99,11.58,-0.36,0.30082203087136716,0.005765831741763564,-4.467833551454431e-5,4.6,668.2589631145061,56.52391304347827,25.533958023386166,4.843411098723018,2.188986836487364,298.24,291.17529780581,53.96521739130436,25.831456998736964,4.624405631964645,2.2144846519996526,0.002905255038639054
67f03733938aa3f0d17ce8a8,task2,5,7.434,completed,1.24,0.24029674857008676,383.84,315.08278431481574,0.82,1.36,-0.35,3.76,25.33,0.82,0.2424455081876936,0.013358296227649696,-0.16656468276641923,4.6,668.2589631145061,72.57391304347826,20.634177322866144,6.216301568834901,1.7690108491919814,361.37,314.234024265861,67.68913043478261,20.818690376986737,5.798636226089428,1.7848269893595214,0.08996148949703446
67f03733938aa3f0d17ce8a8,task2,6,7.773,completed,1.69,0.4137221255032597,407.915,246.5797604262124,1.73,0.79,-0.06,3.68,41.01,1.73,0.41372295471446663,0.3199099941680104,-0.4251178223146979,4.6,668.2589631145061,77.80760869565218,35.52613903777991,6.663616472743079,3.0452545302621368,410.055,246.57943288778569,78.27282608695653,35.526210241785726,6.703368161200421,3.0452606309038703,0.37251390824135416
67f03733938aa3f0d17ce8a8,task2,7,10.061,completed,-0.97,0.3923664092468974,265.605,255.0152683474755,-0.9,0.85,0.7,4.17,14.36,-0.9,0.39259837873555575,1.0723854774397819e-7,-0.04439327530704124,4.6,668.2589631145061,46.87065217391305,33.69233296794011,4.01699130858812,2.8881314237214126,269.35,254.92364039945548,47.68478260869566,33.7122520870749,4.08670670825861,2.8898381815411627,0.022196691272794493
67f03733938aa3f0d17ce8a8,task2,8,6.891,completed,0.38,0.39697608591010985,337.83000000000004,253.19444606550655,0.42,0.99,0.22,2.16,27.6,0.42,0.39728814424430137,0.30480967577917256,-0.19449171364709347,4.6,668.2589631145061,62.5717391304348,34.088163898802925,5.360916797997084,2.9220477191774474,339.97,253.07118302350096,63.03695652173914,34.114960212282405,5.400716135629741,2.9243437105100565,0.249650694713133
67f03733938aa3f0d17ce8a8,task2,9,8.423,completed,-1.05,0.367655316910319,261.32500000000005,264.77614982042405,-1.49,0.84,-0.23,4.99,45.34,-1.49,0.37103299822290836,0.09317770693371163,-0.5824383435840097,4.6,668.2589631145061,45.94021739130436,31.570402212951297,3.9373129263115776,2.7063078667577347,237.785,263.4419657019512,40.822826086956525,31.86044223870627,3.4990157994534257,2.7311615802461136,0.33780802525886067
67f03733938aa3f0d17ce8a8,task2,10,5.629,completed,0.93,0.270602257995024,367.255,303.1121080919655,0.67,1.24,-0.49,3.7,9.98,0.67,0.2723292933013617,0.017396220118617727,-0.3527299443453095,4.6,668.2589631145061,68.96847826086957,23.23649824087706,5.908040125606064,1.99207079284477,353.345,302.42992914596215,65.94456521739131,23.38479801174736,5.649432076944316,2.004781983338083,0.18506308223196363
