participantId,trialId,trialOrder,responseId,status,rejectReason,rejectTime,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,cleanedDuration,configHash
"0b48226a-af04-4365-90d9-5cfb0010c913","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"0b48226a-af04-4365-90d9-5cfb0010c913","introduction","0","prolificId","completed","undefined","undefined","100.00","undefined","undefined","Please enter your Prolific ID (without any spaces):","sheng macbook again ","undefined","undefined","undefined","2025-04-02T16:04:04.179Z","2025-04-02T16:04:11.309Z","7130","7130","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","consent","1","consentApproval","completed","undefined","undefined","100.00","undefined","undefined","Do you consent to the study and wish to continue?","Accept","undefined","undefined","undefined","2025-04-02T16:04:11.474Z","2025-04-02T16:04:16.809Z","5335","5335","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","calibration","3","pixelsPerMM","completed","undefined","undefined","100.00","undefined","undefined","Calibration results","5.152941176470589","undefined","undefined","undefined","2025-04-02T16:04:29.332Z","2025-04-02T16:04:46.974Z","17642","17642","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","distance calibration","4","dist-calibration-MM","completed","undefined","undefined","100.00","undefined","undefined","Distance Calibration results in MM","433.91392216823186","undefined","undefined","undefined","2025-04-02T16:04:47.151Z","2025-04-02T16:05:10.273Z","23122","23122","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","distance calibration","4","dist-calibration-CM","completed","undefined","undefined","100.00","undefined","undefined","Distance Calibration results in CM","43.391392216823185","undefined","undefined","undefined","2025-04-02T16:04:47.151Z","2025-04-02T16:05:10.273Z","23122","23122","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","distance calibration","4","ball-positions","completed","undefined","undefined","100.00","undefined","undefined","Position of balls in pixels","[380,384,392,384,366]","undefined","undefined","undefined","2025-04-02T16:04:47.151Z","2025-04-02T16:05:10.273Z","23122","23122","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_1","8","location-x","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The x-axis location of your click","0.03","undefined","undefined","undefined","2025-04-02T16:05:20.427Z","2025-04-02T16:05:29.204Z","8777","8777","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_1","8","location-y","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The y-axis location of your click","0.41508246426219997","undefined","undefined","undefined","2025-04-02T16:05:20.427Z","2025-04-02T16:05:29.204Z","8777","8777","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_1","8","pixel-x","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The Pixel x-axis location of your click","319.105","undefined","undefined","undefined","2025-04-02T16:05:20.427Z","2025-04-02T16:05:29.204Z","8777","8777","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_1","8","pixel-y","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The y-axis location of your click","246.04242661643102","undefined","undefined","undefined","2025-04-02T16:05:20.427Z","2025-04-02T16:05:29.204Z","8777","8777","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_1","8","param-mu","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","parameter mu","0","undefined","undefined","undefined","2025-04-02T16:05:20.427Z","2025-04-02T16:05:29.204Z","8777","8777","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_1","8","param-sigma","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","parameter sigma","1","undefined","undefined","undefined","2025-04-02T16:05:20.427Z","2025-04-02T16:05:29.204Z","8777","8777","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_1","8","param-lambda","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","parameter lambda","0","undefined","undefined","undefined","2025-04-02T16:05:20.427Z","2025-04-02T16:05:29.204Z","8777","8777","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_1","8","param-p","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","parameter p","2","undefined","undefined","undefined","2025-04-02T16:05:20.427Z","2025-04-02T16:05:29.204Z","8777","8777","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_1","8","param-q","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","parameter q","10","undefined","undefined","undefined","2025-04-02T16:05:20.427Z","2025-04-02T16:05:29.204Z","8777","8777","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_2","9","location-x","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The x-axis location of your click","0.59","undefined","undefined","undefined","2025-04-02T16:05:29.318Z","2025-04-02T16:05:33.191Z","3873","3873","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_2","9","location-y","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The y-axis location of your click","0.37500800495379416","undefined","undefined","undefined","2025-04-02T16:05:29.318Z","2025-04-02T16:05:33.191Z","3873","3873","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_2","9","pixel-x","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The Pixel x-axis location of your click","349.065","undefined","undefined","undefined","2025-04-02T16:05:29.318Z","2025-04-02T16:05:33.191Z","3873","3873","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_2","9","pixel-y","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","The y-axis location of your click","261.8718380432513","undefined","undefined","undefined","2025-04-02T16:05:29.318Z","2025-04-02T16:05:33.191Z","3873","3873","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
"0b48226a-af04-4365-90d9-5cfb0010c913","task1_train_2","9","param-mu","completed","undefined","undefined","100.00","undefined","Click on the slider to initialize a starting point. 

 Use the slider to position the ball along the curve, such that the vertical dotted line divides the area under the curve into two equal halves. 

 Fine-tune your selection by using the left ← and right → arrow keys.","parameter mu","0","undefined","undefined","undefined","2025-04-02T16:05:29.318Z","2025-04-02T16:05:33.191Z","3873","3873","d2fa6c39125c7f9c7ab432b0a821ed2d80841e2d08b9aa10d8d6c2169d11b9a7"
